vehicle_id,date,soh,soc,avg_temperature_c,charge_cycles_total,depth_of_discharge_pct,fast_charge_events_count,avg_charge_cap_pct
EV001,2025-11-16,95.6,65.63,31.05,153.81,44.46,3,100.0
EV001,2025-11-17,95.57,23.95,32.59,154.91,41.57,4,93.03
EV001,2025-11-18,95.55,65.17,26.22,155.7,36.88,2,100.0
EV001,2025-11-19,95.51,62.11,32.25,157.1,30.05,3,100.0
EV001,2025-11-20,95.47,80.59,24.31,158.5,52.51,3,99.33
EV001,2025-11-21,95.43,41.45,36.94,159.69,35.1,4,100.0
EV001,2025-11-22,95.4,25.61,31.86,160.88,44.15,3,99.07
EV001,2025-11-23,95.37,62.99,25.71,161.76,35.25,4,96.53
EV001,2025-11-24,95.32,69.38,37.69,163.08,31.31,3,99.05
EV001,2025-11-25,95.29,26.99,27.31,163.99,40.35,3,95.85
EV001,2025-11-26,95.26,75.95,30.93,165.04,43.55,2,95.69
EV001,2025-11-27,95.23,50.9,33.05,166.05,44.4,2,95.97
EV001,2025-11-28,95.19,77.35,26.86,167.36,37.24,3,94.1
EV001,2025-11-29,95.17,59.73,29.62,168.14,33.66,3,90.19
EV001,2025-11-30,95.14,51.21,27.62,169.32,56.96,2,97.27
EV001,2025-12-01,95.12,48.11,25.73,170.16,48.58,4,94.1
EV001,2025-12-02,95.09,73.33,32.05,171.08,45.67,5,96.02
EV001,2025-12-03,95.04,57.78,40.62,172.42,35.97,2,96.31
EV001,2025-12-04,95.0,50.64,33.92,173.67,48.92,3,100.0
EV001,2025-12-05,94.97,90.81,28.25,174.77,45.29,4,92.13
EV001,2025-12-06,94.94,49.98,33.64,175.93,47.15,4,99.84
EV001,2025-12-07,94.9,38.75,26.43,177.08,48.88,3,99.54
EV001,2025-12-08,94.87,92.83,29.47,178.05,55.8,3,94.73
EV001,2025-12-09,94.84,22.51,32.53,179.32,28.74,4,95.31
EV001,2025-12-10,94.81,49.83,29.0,180.38,36.03,4,100.0
EV001,2025-12-11,94.77,83.06,37.62,181.35,52.1,3,99.16
EV001,2025-12-12,94.74,39.24,31.69,182.53,31.96,4,99.89
EV001,2025-12-13,94.71,35.0,30.32,183.56,35.49,2,95.84
EV001,2025-12-14,94.68,57.24,32.24,184.7,35.55,3,97.73
EV001,2025-12-15,94.65,31.59,33.75,185.49,40.08,4,94.63
EV001,2025-12-16,94.63,71.48,24.62,186.29,52.26,5,96.84
EV001,2025-12-17,94.6,30.3,32.18,187.47,45.5,2,100.0
EV001,2025-12-18,94.55,49.96,36.2,188.83,39.91,2,96.72
EV001,2025-12-19,94.52,64.89,28.38,189.93,53.36,3,97.83
EV001,2025-12-20,94.5,94.76,31.37,190.75,31.4,3,94.95
EV001,2025-12-21,94.47,72.98,33.57,191.66,26.91,3,96.71
EV001,2025-12-22,94.43,59.8,36.11,192.54,39.62,4,95.7
EV001,2025-12-23,94.4,39.2,33.55,193.58,30.2,5,93.56
EV001,2025-12-24,94.36,80.82,28.28,194.95,37.64,5,100.0
EV001,2025-12-25,94.33,56.76,27.51,195.87,49.88,3,95.4
EV001,2025-12-26,94.27,70.46,35.06,197.29,28.37,5,100.0
EV001,2025-12-27,94.24,23.55,22.9,198.27,30.05,4,100.0
EV001,2025-12-28,94.21,57.29,30.74,199.18,43.83,3,100.0
EV001,2025-12-29,94.18,60.18,30.71,200.3,42.42,4,99.29
EV001,2025-12-30,94.15,72.84,28.63,201.5,46.38,2,93.84
EV001,2025-12-31,94.11,69.33,26.83,202.55,41.51,3,98.45
EV001,2026-01-01,94.07,81.06,27.33,203.87,59.5,3,96.07
EV001,2026-01-02,94.05,39.69,28.28,204.95,39.76,4,100.0
EV001,2026-01-03,94.01,23.66,34.78,205.98,30.42,2,99.9
EV001,2026-01-04,94.0,84.91,21.79,206.77,37.11,4,96.55
EV001,2026-01-05,93.96,67.83,25.64,208.05,36.62,2,95.36
EV001,2026-01-06,93.92,71.28,27.49,209.44,35.32,2,100.0
EV001,2026-01-07,93.89,81.55,32.52,210.84,34.51,3,98.6
EV001,2026-01-08,93.86,73.91,28.12,212.06,38.03,3,94.32
EV001,2026-01-09,93.83,89.04,33.26,213.21,40.4,2,100.0
EV001,2026-01-10,93.8,31.6,34.63,214.05,38.08,4,100.0
EV001,2026-01-11,93.78,45.58,31.58,214.84,40.67,4,95.13
EV001,2026-01-12,93.75,49.74,45.77,215.75,48.43,4,95.57
EV001,2026-01-13,93.71,69.81,32.74,217.17,37.23,5,97.27
EV001,2026-01-14,93.69,36.92,29.51,217.95,23.29,2,99.62
EV001,2026-01-15,93.66,89.75,24.24,219.14,38.37,4,96.56
EV001,2026-01-16,93.62,59.06,29.85,220.56,49.45,4,100.0
EV001,2026-01-17,93.59,80.88,33.75,221.64,53.96,2,96.81
EV001,2026-01-18,93.55,54.56,28.8,223.07,37.68,3,100.0
EV001,2026-01-19,93.52,54.17,33.35,224.11,42.14,2,100.0
EV001,2026-01-20,93.49,28.31,30.34,225.31,38.1,3,94.85
EV001,2026-01-21,93.47,23.86,25.51,226.12,22.68,3,99.21
EV001,2026-01-22,93.43,32.91,34.1,227.26,50.64,5,95.59
EV001,2026-01-23,93.41,92.97,27.4,228.28,53.27,2,98.32
EV001,2026-01-24,93.37,95.76,31.36,229.69,44.36,2,98.64
EV001,2026-01-25,93.33,44.87,32.13,230.99,33.18,4,90.78
EV001,2026-01-26,93.29,97.02,22.74,232.25,40.42,5,97.75
EV001,2026-01-27,93.25,27.11,39.88,233.34,45.86,3,96.19
EV001,2026-01-28,93.22,90.73,30.19,234.44,58.1,4,91.26
EV001,2026-01-29,93.2,70.79,29.3,235.24,33.61,3,91.89
EV001,2026-01-30,93.16,51.12,29.53,236.53,45.32,3,98.01
EV001,2026-01-31,93.15,51.12,24.48,237.36,45.81,1,96.85
EV001,2026-02-01,93.12,71.53,27.19,238.17,40.99,3,100.0
EV001,2026-02-02,93.09,49.24,32.2,239.25,52.91,3,98.42
EV001,2026-02-03,93.05,78.34,28.7,240.67,29.95,4,95.57
EV001,2026-02-04,93.02,91.83,28.71,241.81,40.45,5,96.29
EV001,2026-02-05,92.99,74.24,29.45,242.61,39.86,4,93.88
EV001,2026-02-06,92.96,44.32,36.86,243.44,38.22,2,98.28
EV001,2026-02-07,92.93,75.35,23.02,244.24,33.45,3,97.69
EV001,2026-02-08,92.9,38.22,30.52,245.63,40.04,4,95.85
EV001,2026-02-09,92.87,58.26,27.73,246.62,42.85,5,96.58
EV001,2026-02-10,92.84,49.17,32.8,247.96,28.72,3,96.8
EV001,2026-02-11,92.81,58.65,32.33,248.84,33.23,4,90.07
EV001,2026-02-12,92.77,66.51,32.66,250.07,33.63,2,96.08
EV001,2026-02-13,92.74,87.24,33.88,251.06,39.12,3,94.94
EV001,2026-02-14,92.71,75.85,26.89,252.28,32.03,3,92.24
EV001,2026-02-15,92.68,67.87,27.93,253.15,45.45,3,100.0
EV001,2026-02-16,92.65,35.07,23.6,254.04,46.83,6,97.58
EV001,2026-02-17,92.62,42.9,25.16,255.19,33.49,5,96.86
EV001,2026-02-18,92.56,62.15,35.4,256.57,29.17,3,97.67
EV001,2026-02-19,92.53,22.03,32.83,257.48,50.28,2,94.3
EV001,2026-02-20,92.5,39.16,31.02,258.74,35.63,2,91.25
EV001,2026-02-21,92.46,67.57,32.45,259.95,43.06,2,100.0
EV001,2026-02-22,92.44,32.86,33.82,260.84,37.48,4,96.91
EV001,2026-02-23,92.39,21.44,36.4,262.0,45.06,2,93.51
EV001,2026-02-24,92.35,21.52,25.66,263.36,47.22,3,92.34
EV001,2026-02-25,92.32,54.35,26.94,264.24,44.65,3,93.17
EV001,2026-02-26,92.29,49.68,24.35,265.22,34.92,3,95.13
EV001,2026-02-27,92.26,50.46,28.34,266.43,51.29,6,92.29
EV001,2026-02-28,92.22,82.33,32.79,267.73,32.09,4,94.29
EV001,2026-03-01,92.19,26.4,29.18,269.05,43.51,5,97.12
EV001,2026-03-02,92.16,45.53,26.42,269.91,41.81,3,96.88
EV001,2026-03-03,92.13,34.98,27.4,271.16,31.62,5,97.48
EV001,2026-03-04,92.09,50.53,26.82,272.45,37.36,2,91.69
EV001,2026-03-05,92.07,51.21,29.2,273.25,55.03,4,91.28
EV001,2026-03-06,92.02,28.64,43.05,274.38,37.28,5,100.0
EV001,2026-03-07,92.0,52.63,27.32,275.17,30.48,2,91.77
EV001,2026-03-08,91.97,41.06,28.16,276.02,42.1,3,95.32
EV001,2026-03-09,91.95,64.74,22.62,276.94,44.53,4,93.12
EV001,2026-03-10,91.92,53.38,31.45,278.31,43.19,4,100.0
EV001,2026-03-11,91.9,59.6,25.7,279.1,24.46,2,91.42
EV001,2026-03-12,91.87,79.8,22.7,280.44,38.61,4,98.11
EV001,2026-03-13,91.83,51.18,31.79,281.76,31.02,4,96.3
EV001,2026-03-14,91.8,49.06,25.16,282.95,30.33,2,98.67
EV001,2026-03-15,91.77,50.62,22.41,283.84,40.8,4,99.12
EV001,2026-03-16,91.75,30.94,30.72,284.91,32.04,3,96.66
EV001,2026-03-17,91.73,36.5,34.47,285.73,58.04,1,97.0
EV001,2026-03-18,91.69,35.7,25.97,287.16,43.02,3,96.71
EV001,2026-03-19,91.67,84.78,27.1,288.05,45.88,3,95.89
EV001,2026-03-20,91.62,82.65,39.72,289.24,48.29,3,99.96
EV001,2026-03-21,91.58,44.83,36.85,290.16,55.36,5,98.08
EV001,2026-03-22,91.55,86.47,34.67,291.02,48.62,3,93.36
EV001,2026-03-23,91.52,39.1,25.51,292.11,27.82,4,96.84
EV001,2026-03-24,91.49,95.73,30.63,292.99,47.1,4,96.18
EV001,2026-03-25,91.46,27.09,31.39,294.0,43.91,3,100.0
EV001,2026-03-26,91.44,51.9,34.55,294.87,37.78,5,92.05
EV001,2026-03-27,91.41,41.62,29.92,295.69,35.22,3,99.84
EV001,2026-03-28,91.39,61.57,29.16,296.58,51.75,1,92.78
EV001,2026-03-29,91.34,29.36,35.83,297.72,49.71,2,96.25
EV001,2026-03-30,91.32,52.33,25.37,298.68,37.91,3,100.0
EV001,2026-03-31,91.29,31.71,26.98,299.84,46.43,4,97.0
EV001,2026-04-01,91.25,93.27,27.86,301.2,33.71,3,95.98
EV001,2026-04-02,91.22,73.72,34.56,302.22,40.74,4,99.17
EV001,2026-04-03,91.2,41.23,32.79,303.13,41.71,1,99.57
EV001,2026-04-04,91.17,25.32,26.92,304.28,31.07,6,99.02
EV001,2026-04-05,91.13,46.89,25.65,305.42,34.55,4,95.06
EV001,2026-04-06,91.1,32.77,33.49,306.83,33.69,2,97.12
EV001,2026-04-07,91.07,88.38,27.89,307.89,40.54,2,97.59
EV001,2026-04-08,91.03,67.12,27.11,309.14,40.6,3,94.41
EV001,2026-04-09,91.0,68.31,24.05,310.22,29.42,2,94.13
EV001,2026-04-10,90.97,25.86,25.76,311.36,56.66,4,93.43
EV001,2026-04-11,90.94,46.12,31.75,312.49,45.19,4,97.52
EV001,2026-04-12,90.91,66.72,23.39,313.63,46.84,3,100.0
EV001,2026-04-13,90.88,94.64,30.4,314.47,37.08,3,100.0
EV001,2026-04-14,90.84,55.18,30.31,315.76,40.36,3,95.0
EV001,2026-04-15,90.82,55.04,27.59,316.81,30.97,2,94.92
EV001,2026-04-16,90.78,38.2,33.8,317.96,44.19,2,93.61
EV001,2026-04-17,90.75,55.34,33.71,318.77,44.75,5,94.68
EV001,2026-04-18,90.73,53.04,25.43,319.56,49.01,3,95.39
EV001,2026-04-19,90.7,59.72,28.27,320.86,42.49,3,95.97
EV001,2026-04-20,90.67,86.11,30.1,321.7,47.85,3,94.44
EV001,2026-04-21,90.64,87.23,28.03,322.8,37.57,2,96.75
EV001,2026-04-22,90.61,20.7,26.29,323.9,24.08,4,96.93
EV001,2026-04-23,90.58,66.92,30.23,325.15,42.51,3,98.18
EV001,2026-04-24,90.55,37.43,34.47,326.09,47.0,3,97.04
EV001,2026-04-25,90.52,58.6,31.74,327.22,46.23,3,98.28
EV001,2026-04-26,90.48,26.08,27.49,328.61,44.5,3,95.68
EV001,2026-04-27,90.44,60.02,27.52,329.92,37.09,5,99.81
EV001,2026-04-28,90.42,21.46,29.01,330.75,45.91,4,99.27
EV001,2026-04-29,90.39,70.68,31.14,331.61,39.32,3,95.2
EV001,2026-04-30,90.36,24.05,32.17,332.7,25.21,2,98.85
EV001,2026-05-01,90.34,56.52,27.76,333.57,57.04,3,95.48
EV001,2026-05-02,90.31,56.49,30.3,334.77,48.11,3,100.0
EV001,2026-05-03,90.27,29.08,28.42,335.87,30.01,4,99.52
EV001,2026-05-04,90.23,72.08,30.66,337.19,46.59,4,98.49
EV001,2026-05-05,90.21,31.12,30.11,338.03,32.08,2,95.13
EV001,2026-05-06,90.16,43.36,38.05,339.28,24.16,5,100.0
EV001,2026-05-07,90.13,73.64,29.03,340.07,35.68,4,99.49
EV001,2026-05-08,90.11,49.89,19.12,340.98,31.68,2,95.22
EV001,2026-05-09,90.08,41.59,30.94,341.78,31.17,4,95.01
EV001,2026-05-10,90.06,95.9,28.62,342.56,41.2,3,96.53
EV001,2026-05-11,90.01,92.26,38.56,343.68,31.28,3,94.02
EV001,2026-05-12,89.99,71.53,34.58,344.49,50.04,3,94.79
EV001,2026-05-13,89.97,91.27,24.95,345.69,51.27,2,100.0
EV001,2026-05-14,89.94,55.79,34.85,346.83,37.37,2,93.71
EV001,2026-05-15,89.89,54.54,29.56,348.15,38.11,4,97.76
EV001,2026-05-16,89.86,25.14,28.98,349.31,33.14,4,96.73
EV001,2026-05-17,89.82,44.84,26.66,350.61,45.89,4,100.0
EV001,2026-05-18,89.8,40.14,28.14,351.5,45.11,3,96.6
EV001,2026-05-19,89.76,23.74,31.31,352.92,33.75,3,99.07
EV001,2026-05-20,89.73,48.42,28.63,353.85,36.68,3,95.6
EV001,2026-05-21,89.71,20.07,26.71,354.75,42.86,2,97.87
EV001,2026-05-22,89.68,62.55,33.87,355.86,49.47,2,100.0
EV001,2026-05-23,89.65,47.91,31.34,357.11,33.97,5,97.92
EV001,2026-05-24,89.63,93.6,30.29,358.19,41.39,2,100.0
EV001,2026-05-25,89.6,55.31,25.3,359.13,29.88,6,91.46
EV001,2026-05-26,89.57,22.02,29.39,360.05,33.9,4,92.87
EV001,2026-05-27,89.54,78.15,30.35,361.17,36.29,2,94.76
EV001,2026-05-28,89.51,20.03,28.93,362.48,39.06,5,93.47
EV001,2026-05-29,89.47,40.71,29.26,363.83,45.27,3,95.43
EV001,2026-05-30,89.43,75.59,30.25,365.19,39.06,4,96.84
EV001,2026-05-31,89.38,74.02,35.85,366.36,49.57,4,95.92
EV001,2026-06-01,89.35,89.0,25.64,367.32,39.23,2,98.45
EV001,2026-06-02,89.32,38.51,28.57,368.46,42.04,2,100.0
EV001,2026-06-03,89.28,45.79,29.58,369.78,48.23,2,94.87
EV001,2026-06-04,89.26,22.57,32.24,370.66,47.05,4,98.19
EV001,2026-06-05,89.23,25.56,31.3,371.86,43.89,3,100.0
EV001,2026-06-06,89.21,23.69,32.37,372.93,40.92,1,96.54
EV001,2026-06-07,89.18,68.59,27.83,374.07,41.81,4,97.52
EV001,2026-06-08,89.13,40.43,22.59,375.47,48.59,2,99.0
EV001,2026-06-09,89.11,64.18,32.13,376.3,32.15,3,100.0
EV001,2026-06-10,89.09,71.18,32.28,377.36,42.12,5,93.32
EV001,2026-06-11,89.05,20.33,33.03,378.62,44.04,3,100.0
EV001,2026-06-12,89.0,81.86,35.73,379.85,44.48,3,96.63
EV001,2026-06-13,88.97,43.8,31.1,380.94,47.04,3,95.34
EV001,2026-06-14,88.94,54.97,31.17,382.36,42.38,1,97.01
EV001,2026-06-15,88.91,20.14,32.13,383.77,40.1,3,100.0
EV001,2026-06-16,88.88,76.6,27.69,384.76,46.69,3,91.96
EV001,2026-06-17,88.84,70.64,31.12,386.13,42.33,3,97.72
EV001,2026-06-18,88.81,46.86,30.73,387.26,47.35,5,95.18
EV001,2026-06-19,88.78,56.04,30.46,388.22,38.0,4,97.65
EV001,2026-06-20,88.75,81.55,31.22,389.07,50.32,3,94.57
EV001,2026-06-21,88.73,84.5,29.32,389.87,58.19,4,95.41
EV001,2026-06-22,88.7,31.79,29.64,390.98,45.53,3,94.91
EV001,2026-06-23,88.67,54.35,27.11,392.21,43.0,4,94.81
EV001,2026-06-24,88.62,61.1,39.93,393.29,42.99,5,93.21
EV001,2026-06-25,88.59,73.79,31.49,394.65,39.04,4,94.37
EV001,2026-06-26,88.56,52.04,29.49,395.84,34.38,3,95.62
EV001,2026-06-27,88.52,82.93,27.07,397.13,28.22,4,100.0
EV001,2026-06-28,88.49,47.26,32.29,398.19,29.05,3,96.52
EV001,2026-06-29,88.46,72.32,27.73,399.47,48.96,3,96.58
EV001,2026-06-30,88.43,74.53,31.01,400.57,57.89,4,100.0
EV002,2025-07-01,99.95,25.05,36.21,1.12,86.35,0,86.33
EV002,2025-07-02,99.89,82.0,22.31,2.7,84.93,2,83.01
EV002,2025-07-03,99.82,23.89,38.33,3.82,95.71,3,81.91
EV002,2025-07-04,99.78,43.62,22.92,5.04,90.85,2,82.15
EV002,2025-07-05,99.74,44.44,39.45,6.03,72.96,1,82.84
EV002,2025-07-06,99.69,65.98,11.83,7.15,80.69,2,84.04
EV002,2025-07-07,99.64,45.26,21.7,8.74,80.43,1,84.18
EV002,2025-07-08,99.6,26.74,24.72,9.82,100.0,2,84.53
EV002,2025-07-09,99.54,21.35,37.06,10.86,84.32,2,75.53
